InstanceType,CurrentGeneration,FreeTierEligible,SupportedUsageClasses,BareMetal,Hypervisor,SupportedArchitectures,SustainedClockSpeedInGhz,ValidThreadsPerCore,DefaultCores,DefaultVCpus,ValidCores,DefaultThreadsPerCore,MemorySizeInMiB,InstanceStorageSupported,TotalSizeInGB,Disks,EbsOptimizedSupport,EbsEncryptionSupport,NetworkPerformance,MaximumNetworkInterfaces,Ipv6Supported,Ipv6AddressesPerInterface,EnaSupport,Ipv4AddressesPerInterface,TotalGpuMemoryInMiB,Gpus,TotalFpgaMemoryInMiB,Fpgas,PlacementGroupInfo,HibernationSupported,BurstablePerformanceSupported,DedicatedHostsSupported,AutoRecoverySupported
r5n.4xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,8,16,2; 4; 6; 8,2,131072,False,,,default,supported,"""Up to 25 Gigabit""",8,True,30,required,30,,,,,partition; cluster; spread,False,False,True,True
r5a.16xlarge,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,32,64,8; 10; 12; 14; 16; 18; 20; 22; 24; 26; 28; 30; 32,2,524288,False,,,default,supported,"""12 Gigabit""",15,True,50,required,50,,,,,partition; cluster; spread,False,False,False,True
t2.large,True,False,spot; on-demand,False,xen,x86_64; i386,2.3,1,2,2,1; 2,1,8192,False,,,unsupported,supported,"""Low to Moderate""",3,True,12,unsupported,12,,,,,partition; spread,False,True,False,True
r5.24xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,48,96,4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24; 26; 28; 30; 32; 34; 36; 38; 40; 42; 44; 46; 48,2,786432,False,,,default,supported,"""25 Gigabit""",15,True,50,required,50,,,,,partition; cluster; spread,False,False,True,True
m5a.2xlarge,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,4,8,2; 4,2,32768,False,,,default,supported,"""Up to 10 Gigabit""",4,True,15,required,15,,,,,partition; cluster; spread,False,False,True,True
c4.large,True,False,spot; on-demand,False,xen,x86_64,2.9,1; 2,1,2,1,2,3840,False,,,default,supported,"""Moderate""",3,True,10,unsupported,10,,,,,partition; cluster; spread,True,False,True,True
r5.large,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,1,2,1,2,16384,False,,,default,supported,"""Up to 10 Gigabit""",3,True,10,required,10,,,,,partition; cluster; spread,True,False,True,True
a1.large,True,False,on-demand,False,nitro,arm64,2.3,1,2,2,2,1,4096,False,,,default,supported,"""Up to 10 Gigabit""",3,True,10,required,10,,,,,partition; cluster; spread,False,False,True,True
c1.medium,False,False,on-demand,False,xen,x86_64; i386,,1,2,2,1; 2,1,1740,True,350,"""1x350 Gb hdd""",unsupported,unsupported,"""Moderate""",2,False,0,unsupported,6,,,,,partition; spread,False,False,False,False
g4dn.12xlarge,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,24,48,2; 4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24,2,196608,True,900,"""1x900 Gb ssd""",default,supported,"""50 Gigabit""",8,True,30,required,30,65536,"""4x16384 MiB T4 NVIDIA""",,,partition; cluster; spread,False,False,True,False
z1d.2xlarge,True,False,spot; on-demand,False,nitro,x86_64,4.0,1; 2,4,8,2; 4,2,65536,True,300,"""1x300 Gb ssd""",default,supported,"""Up to 10 Gigabit""",4,True,15,required,15,,,,,partition; cluster; spread,False,False,True,False
r5n.12xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,24,48,2; 4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24,2,393216,False,,,default,supported,"""50 Gigabit""",8,True,30,required,30,,,,,partition; cluster; spread,False,False,True,True
m5d.16xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,32,64,2; 4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24; 26; 28; 30; 32,2,262144,True,2400,"""4x600 Gb ssd""",default,supported,"""20 Gigabit""",15,True,50,required,50,,,,,partition; cluster; spread,False,False,False,False
r5a.2xlarge,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,4,8,2; 4,2,65536,False,,,default,supported,"""Up to 10 Gigabit""",4,True,15,required,15,,,,,partition; cluster; spread,False,False,True,True
m5d.large,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,1,2,1,2,8192,True,75,"""1x75 Gb ssd""",default,supported,"""Up to 10 Gigabit""",3,True,10,required,10,,,,,partition; cluster; spread,False,False,True,False
r5a.large,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,1,2,1,2,16384,False,,,default,supported,"""Up to 10 Gigabit""",3,True,10,required,10,,,,,partition; cluster; spread,False,False,True,True
r5n.16xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,32,64,2; 4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24; 26; 28; 30; 32,2,524288,False,,,default,supported,"""75 Gigabit""",15,True,50,required,50,,,,,partition; cluster; spread,False,False,True,True
t3.large,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,1,2,1,2,8192,False,,,default,supported,"""Up to 5 Gigabit""",3,True,12,required,12,,,,,partition; spread,False,True,True,True
m5dn.2xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,4,8,2; 4,2,32768,True,300,"""1x300 Gb ssd""",default,supported,"""Up to 25 Gigabit""",4,True,15,required,15,,,,,partition; cluster; spread,False,False,True,False
g3.16xlarge,True,False,spot; on-demand,False,xen,x86_64,2.3,1; 2,32,64,2; 4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24; 26; 28; 30; 32,2,499712,False,,,default,supported,"""25 Gigabit""",15,True,50,supported,50,32768,"""4x8192 MiB M60 NVIDIA""",,,partition; cluster; spread,False,False,True,False
r5ad.12xlarge,True,False,spot; on-demand,False,nitro,x86_64,2.2,1; 2,24,48,6; 12; 18; 24,2,393216,True,1800,"""2x900 Gb ssd""",default,supported,"""10 Gigabit""",8,True,30,required,30,,,,,partition; cluster; spread,False,False,True,False
t2.micro,True,True,spot; on-demand,False,xen,x86_64; i386,2.5,1,1,1,1,1,1024,False,,,unsupported,supported,"""Low to Moderate""",2,True,2,unsupported,2,,,,,partition; spread,False,True,False,True
g3.8xlarge,True,False,spot; on-demand,False,xen,x86_64,2.7,1; 2,16,32,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,2,249856,False,,,default,supported,"""10 Gigabit""",8,True,30,supported,30,16384,"""2x8192 MiB M60 NVIDIA""",,,partition; cluster; spread,False,False,True,False
c1.xlarge,False,False,on-demand,False,xen,x86_64; i386,,1,8,8,1; 2; 3; 4; 5; 6; 7; 8,1,7168,True,1680,"""4x420 Gb hdd""",supported,unsupported,"""High""",4,False,0,unsupported,15,,,,,partition; spread,False,False,False,False
inf1.xlarge,True,False,spot; on-demand,False,nitro,x86_64,2.5,1; 2,2,4,2,2,8192,False,,,default,supported,"""Low""",4,True,10,required,10,,,,,partition; cluster; spread,False,False,False,False
d2.2xlarge,True,False,on-demand,False,xen,x86_64,2.4,1; 2,4,8,1; 2; 3; 4,2,62464,True,12288,"""6x2048 Gb hdd""",default,supported,"""High""",4,True,15,unsupported,15,,,,,partition; cluster; spread,False,False,True,False
h1.8xlarge,True,False,spot; on-demand,False,xen,x86_64; i386,2.3,1; 2,16,32,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,2,131072,True,8000,"""4x2000 Gb hdd""",default,supported,"""10 Gigabit""",8,True,30,supported,30,,,,,partition; cluster; spread,False,False,True,False
m4.4xlarge,True,False,spot; on-demand,False,xen,x86_64,2.4,1; 2,8,16,1; 2; 3; 4; 5; 6; 7; 8,2,65536,False,,,default,supported,"""High""",8,True,30,unsupported,30,,,,,partition; cluster; spread,True,False,True,True
i3en.24xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,48,96,2; 4; 6; 8; 10; 12; 14; 16; 18; 20; 22; 24; 26; 28; 30; 32; 34; 36; 38; 40; 42; 44; 46; 48,2,786432,True,60000,"""8x7500 Gb ssd""",default,supported,"""100 Gigabit""",15,True,50,required,50,,,,,partition; cluster; spread,False,False,True,False
c3.large,False,False,spot; on-demand,False,xen,x86_64; i386,2.8,1; 2,1,2,1,2,3840,True,32,"""2x16 Gb ssd""",unsupported,supported,"""Moderate""",3,True,10,unsupported,10,,,,,partition; cluster; spread,True,False,True,True
f1.2xlarge,True,False,spot; on-demand,False,xen,x86_64,2.3,1; 2,4,8,1; 2; 3; 4,2,124928,True,470,"""1x470 Gb ssd""",default,supported,"""Up to 10 Gigabit""",4,True,15,unsupported,15,,,65536,"""1x65536 MiB Virtex UltraScale (VU9P) Xilinx""",partition; cluster; spread,False,False,True,False
r5dn.8xlarge,True,False,spot; on-demand,False,nitro,x86_64,3.1,1; 2,16,32,2; 4; 6; 8; 10; 12; 14; 16,2,262144,True,1200,"""2x600 Gb ssd""",default,supported,"""25 Gigabit""",8,True,30,required,30,,,,,partition; cluster; spread,False,False,True,False
g2.2xlarge,False,False,on-demand,False,xen,x86_64,2.6,1; 2,4,8,1; 2; 3; 4,2,15360,True,60,"""1x60 Gb ssd""",supported,supported,"""Moderate""",4,False,0,unsupported,15,4096,"""1x4096 MiB K520 NVIDIA""",,,partition; cluster; spread,False,False,True,False
