Number,Service
1,acm
2,acm-pca
3,alexaforbusiness
4,amplify
5,apigateway
6,apigatewaymanagementapi
7,apigatewayv2
8,appconfig
9,application-autoscaling
10,application-insights
11,appmesh
12,appstream
13,appsync
14,athena
15,autoscaling
16,autoscaling-plans
17,backup
18,batch
19,budgets
20,ce
21,chime
22,cloud9
23,clouddirectory
24,cloudformation
25,cloudfront
26,cloudhsm
27,cloudhsmv2
28,cloudsearch
29,cloudsearchdomain
30,cloudtrail
31,cloudwatch
32,codebuild
33,codecommit
34,codedeploy
35,codepipeline
36,codestar
37,codestar-notifications
38,cognito-identity
39,cognito-idp
40,cognito-sync
41,comprehend
42,comprehendmedical
43,config
44,connect
45,connectparticipant
46,cur
47,dataexchange
48,datapipeline
49,datasync
50,dax
51,devicefarm
52,directconnect
53,discovery
54,dlm
55,dms
56,docdb
57,ds
58,dynamodb
59,dynamodbstreams
60,ec2
61,ec2-instance-connect
62,ecr
63,ecs
64,efs
65,eks
66,elasticache
67,elasticbeanstalk
68,elastictranscoder
69,elb
70,elbv2
71,emr
72,es
73,events
74,firehose
75,fms
76,forecast
77,forecastquery
78,fsx
79,gamelift
80,glacier
81,globalaccelerator
82,glue
83,greengrass
84,groundstation
85,guardduty
86,health
87,iam
88,importexport
89,inspector
90,iot
91,iot-data
92,iot-jobs-data
93,iot1click-devices
94,iot1click-projects
95,iotanalytics
96,iotevents
97,iotevents-data
98,iotsecuretunneling
99,iotthingsgraph
100,kafka
101,kinesis
102,kinesis-video-archived-media
103,kinesis-video-media
104,kinesisanalytics
105,kinesisanalyticsv2
106,kinesisvideo
107,kms
108,lakeformation
109,lambda
110,lex-models
111,lex-runtime
112,license-manager
113,lightsail
114,logs
115,machinelearning
116,macie
117,managedblockchain
118,marketplace-catalog
119,marketplace-entitlement
120,marketplacecommerceanalytics
121,mediaconnect
122,mediaconvert
123,medialive
124,mediapackage
125,mediapackage-vod
126,mediastore
127,mediastore-data
128,mediatailor
129,meteringmarketplace
130,mgh
131,migrationhub-config
132,mobile
133,mq
134,mturk
135,neptune
136,opsworks
137,opsworkscm
138,organizations
139,personalize
140,personalize-events
141,personalize-runtime
142,pi
143,pinpoint
144,pinpoint-email
145,pinpoint-sms-voice
146,polly
147,pricing
148,qldb
149,qldb-session
150,quicksight
151,ram
152,rds
153,rds-data
154,redshift
155,rekognition
156,resource-groups
157,resourcegroupstaggingapi
158,robomaker
159,route53
160,route53domains
161,route53resolver
162,s3
163,s3control
164,sagemaker
165,sagemaker-runtime
166,savingsplans
167,sdb
168,secretsmanager
169,securityhub
170,serverlessrepo
171,service-quotas
172,servicecatalog
173,servicediscovery
174,ses
175,sesv2
176,shield
177,signer
178,sms
179,sms-voice
180,snowball
181,sns
182,sqs
183,ssm
184,sso
185,sso-oidc
186,stepfunctions
187,storagegateway
188,sts
189,support
190,swf
191,textract
192,transcribe
193,transfer
194,translate
195,waf
196,waf-regional
197,wafv2
198,workdocs
199,worklink
200,workmail
201,workmailmessageflow
202,workspaces
203,xray
