ServiceCode,AttributeNames
AWSAmplify,productFamily; termType; usagetype; datatransferout; locationType; storage; servicecode; instancetype; location; servicename
AWSAppSync,productFamily; termType; usagetype; graphqloperation; locationType; realtimeoperation; cachememorysize; protocol; servicecode; location; servicename; operation
AWSBackup,productFamily; servicecode; termType; usagetype; locationType; location; servicename; operation; storagetype
AWSBudgets,productFamily; servicecode; groupDescription; termType; usagetype; locationType; location; servicename; operation
AWSCertificateManager,productFamily; termType; usagetype; locationType; type; servicecode; groupDescription; location; servicename; group
AWSCloudFormation,servicecode; cloudformationresourceProvider; termType; usagetype; locationType; location; servicename; operation
AWSCloudMap,productFamily; servicecode; termType; usagetype; locationType; location; servicename; type
AWSCloudTrail,productFamily; servicecode; termType; usagetype; locationType; location; servicename; insightstype
AWSCodeCommit,productFamily; servicecode; termType; usagetype; locationType; location; group
AWSCodeDeploy,productFamily; servicecode; termType; usagetype; locationType; location; servicename; operation; deploymentLocation
AWSCodePipeline,productFamily; Restriction; servicecode; termType; usagetype; description; locationType; location; servicename
AWSConfig,productFamily; termType; usagetype; locationType; type; servicecode; location; servicename; category; ciType
AWSCostExplorer,productFamily; requestType; termType; usagetype; locationType; servicecode; granularity; location; servicename; operation
AWSDataExchange,productFamily; volumeType; storageClass; servicecode; termType; usagetype; locationType; location; servicename
AWSDataSync,productFamily; productSchemaDescription; servicecode; termType; usagetype; locationType; location; servicename
AWSDataTransfer,productFamily; fromLocationType; termType; usagetype; toLocationType; toLocation; servicecode; transferType; servicename; fromLocation
AWSDatabaseMigrationSvc,productFamily; volumeType; enhancedNetworkingSupported; memory; dedicatedEbsThroughput; vcpu; termType; locationType; storage; instanceFamily; availabilityZone; storageMedia; physicalProcessor; clockSpeed; networkPerformance; servicename; minVolumeSize; instanceType; usagetype; maxVolumeSize; processorFeatures; Restriction; servicecode; currentGeneration; location; processorArchitecture; operation
AWSDeveloperSupport,productFamily; whoCanOpenCases; customerServiceAndCommunities; proactiveGuidance; termType; usagetype; includedServices; locationType; training; accountAssistance; thirdpartySoftwareSupport; operationsSupport; servicecode; architectureSupport; programmaticCaseManagement; architecturalReview; technicalSupport; location; caseSeverityresponseTimes; launchSupport; bestPractices
AWSDeviceFarm,productFamily; deviceOs; termType; usagetype; description; locationType; executionMode; servicecode; location; servicename; meterMode
AWSDirectConnect,productFamily; fromLocationType; virtualInterfaceType; termType; usagetype; directConnectLocation; locationType; toLocationType; georegioncode; toLocation; version; servicecode; portSpeed; transferType; servicename; location; fromLocation; operation
AWSDirectoryService,productFamily; directoryTypeDescription; directorySize; termType; usagetype; locationType; directoryType; Restriction; servicecode; pricingUnit; location; servicename; operation
AWSElementalMediaConvert,productFamily; transcodingResult; videoQualitySetting; singleOrDualPass; termType; usagetype; addonFeature; locationType; description; videoFrameRate; resolution; codec; frameRate; vqSetting; servicecode; tier; location; servicename; videoResolution; videoCodec
AWSElementalMediaLive,productFamily; termType; usagetype; locationType; reserveType; resolution; videoQuality; output; pipeline; frameRate; input; servicecode; bitRate; location; servicename; operation
AWSElementalMediaPackage,productFamily; servicecode; termType; usagetype; locationType; transferType; location; servicename
AWSElementalMediaStore,productFamily; ingestType; durability; termType; usagetype; description; locationType; availability; storageclass; servicecode; location; servicename; operation
AWSElementalMediaTailor,productFamily; servicecode; termType; usagetype; locationType; location; operationType; servicename
AWSEvents,productFamily; termType; usagetype; locationType; eventType; Restriction; servicecode; location; servicename; operation
AWSFMS,productFamily; servicecode; termType; usagetype; locationType; location; servicename; awsresource
AWSGlobalAccelerator,productFamily; fromLocationType; termType; usagetype; toLocationType; toLocation; dominantnondominant; servicecode; servicename; fromLocation; trafficDirection; operation; clientLocation
AWSGlue,productFamily; termType; usagetype; locationType; Restriction; servicecode; location; servicename; operation; group
AWSGreengrass,productFamily; tenancySupport; servicecode; termType; usagetype; locationType; location; servicename; operation
AWSIoT1Click,productFamily; deviceType; servicecode; termType; usagetype; locationType; location; servicename; device
AWSIoTAnalytics,productFamily; servicecode; termType; usagetype; locationType; location; servicename; operation; group
AWSIoTEvents,productFamily; awsiotevents; servicecode; termType; usagetype; locationType; location; servicename; operation
AWSIoTThingsGraph,productFamily; servicecode; termType; usagetype; locationType; location; servicename; operation; group
AWSIoT,productFamily; termType; usagetype; locationType; eventType; newcode; protocol; servicecode; location; servicename
AWSLambda,productFamily; termType; usagetype; locationType; Restriction; servicecode; groupDescription; location; servicename; group
AWSMediaConnect,productFamily; fromLocationType; termType; usagetype; locationType; toLocationType; toLocation; servicecode; transferType; location; servicename; fromLocation; operation; flowType
AWSQueueService,productFamily; messageDeliveryOrder; termType; usagetype; locationType; Restriction; servicecode; groupDescription; messageDeliveryFrequency; queueType; location; servicename; group
AWSRoboMaker,productFamily; servicecode; termType; usagetype; locationType; location; servicename; availability; operation
AWSSecretsManager,productFamily; servicecode; termType; usagetype; locationType; location; servicename; group
AWSSecurityHub,productFamily; standardGroup; standardSource; termType; usagetype; locationType; standardStorage; servicecode; findingSource; location; servicename; findingStorage; findingGroup
AWSServiceCatalog,productFamily; servicecode; termType; usagetype; locationType; location; operation; withActiveUsers
AWSShield,productFamily; fromLocationType; termType; usagetype; description; locationType; toLocationType; toLocation; servicecode; servicename; location; fromLocation; operation; resourceType
AWSStorageGatewayDeepArchive,productFamily; termType; usagetype; locationType; storageDescription; storageClass; feeDescription; servicecode; feeCode; location; servicename; maximumCapacity; operation
